"","date","user_location","text","dat"
"37","22-08-2020 02:19","Southern California","Hospice Patients Alliance newsletter. #COVID19Pandemic  #CovidVaccine 
https://t.co/tZHX9B121C",2022-08-20
"38","22-08-2020 02:14","Rewa, India","My internal voice really has a positive response for #moderna 
#CovidVaccine 
#hopes 
Really hopeful 
#GoodMorning https://t.co/NnUcCHtvEF",2022-08-20
"39","22-08-2020 02:01","Mumbai, India","@DrSubhasree @mumbaimatterz @Thinkerks @drakchaurasia @AAPSonline @richardursomd @BakhleD @AndrewJacksonV3… https://t.co/bIdT3DPnwB",2022-08-20
"40","22-08-2020 01:49","Australia","Do you know when I stop wearing a mask?
When I've been vaccinated!
#CovidVic #COVID19Victoria #CovidVaccine… https://t.co/okhEjcVoa1",2022-08-20
"41","22-08-2020 01:47","India","Day 150 COVID-19 Updates of India’s Fight Against Coronavirus https://t.co/hXBFNLb5mE via @abclive  #CovidVaccine #COVID19",2022-08-20
"42","22-08-2020 01:40","Victoria, Australia","Does China have a #CovidVaccine and is not telling the world. How can a country of 1.4 billion people not have the… https://t.co/xiGE3xy1I5",2022-08-20
"43","22-08-2020 01:36","India","Pfizer-BioNTech COVID-19 Vaccine Early-stage Trials Show Fewer Side Effects, Favourable Immunity; Expects Approval… https://t.co/R0s3E4oeTl",2022-08-20
"44","22-08-2020 01:08","Wisconsin, USA","https://t.co/IWc8UjhCcd - SCARY BIDEN WOW ABC INTERVIEW - #COVIDー19 #CovidVaccine #CoronavirusOutbreak #coronavirus… https://t.co/iikmq1Srj2",2022-08-20
"45","22-08-2020 00:56","Cambridge, MA","Steady progress due to exemplary team effort. #moderna  #CovidVaccine https://t.co/CjZI6Fpc3Y",2022-08-20
"46","22-08-2020 00:36","Cairns, Australia","PNG bans Chinese mine staff given experimental #CovidVaccine https://t.co/TBaGAiEg08",2022-08-20
"47","21-08-2020 23:57","Washington, DC","I find this prediction fascinating considering data from 2 of the 3 U.S. government's #CovidVaccine late-stage tria… https://t.co/1G1Ra7LhO9",2021-08-20
"48","21-08-2020 23:56","USA","Help #science and make a workable #vaccine a reality #COVID19 #CovidVaccine #USA https://t.co/0tp14z9jcW",2021-08-20
"49","21-08-2020 23:21","San Francisco, CA","Sadly still no trial sites in the #sf #BayArea. 
Time to haul butt to #Sacto. #CovidVaccine https://t.co/vOC7e4Nmla",2021-08-20
"50","21-08-2020 23:09","Washington, DC","My friend Anthony Musa is one of the volunteers for the COVID vaccine trial. He is an awesome guy, and I am not at… https://t.co/wffIlHrrBo",2021-08-20
"51","21-08-2020 23:07","Moore, OK","Because 2020:  The #RussianVaccine could actually be the beginning of the #zombieapacolypse #CovidVaccine… https://t.co/dUF8ur6VI7",2021-08-20
"52","21-08-2020 22:55","Real World","Australia’s current opinion of a fast tracked vaccines they’re planning on forcing us to take. No thanks Scomo. We’… https://t.co/cnsrBjdSwp",2021-08-20
"53","21-08-2020 22:34","Coogee, Sydney, Australia","Here’s hoping vaccines (raised against S protein) work, but if there’s a moral from this research it is: “don’t cou… https://t.co/jyAiNpF6EM",2021-08-20
"54","21-08-2020 22:15","Melbourne Aust","Truth is the first casualty of war - and even of the repression of your opposition. btw Russia, how’s your fake… https://t.co/0k1ujmq222",2021-08-20
"55","21-08-2020 22:01","Greater New York City Area","So psyched to be participating in the Pfizer COVID-19 phase 3 trial. One small step to see socially distanced loved… https://t.co/9Cz0DcZjEL",2021-08-20
"56","21-08-2020 21:47","Tehran, Iran","💥BioNTech, co-founded by Ugur Sahin, the 2019 Mustafa(pbuh) Prize Laureate, and Pfizer have reported positive, prel… https://t.co/sXb5w64nVC",2021-08-20
"57","21-08-2020 20:57","RNA World","Decision by $BNTX+ $PFE to promote BNT162b2 over b1 because of safety is particularly damaging to $MRNA + Oxford/ad… https://t.co/RO6vKg6Ps1",2021-08-20
"58","21-08-2020 20:18","🌏 The Lost Atlantis 🏝","@KendelMonique @911Satyagraha @davidicke @KrulikAnita @MarissaNovetsky @inthepink27 @kaj_pas @Anygma… https://t.co/rgN8SfwvRK",2021-08-20
"59","21-08-2020 20:14","RNA World","$ABUS is a decent buy here even w/out potential #covidvaccine windfall, so w/ HBV, covid inhibitor, and maybe a cov… https://t.co/SrrsS3ZfkM",2021-08-20
"60","21-08-2020 19:53","RNA World","New #covidvaccine ranking:

1) shared btw $NVAX + $BNTX $PFE BNT162b2 (similar efficacy normalized to convalescent… https://t.co/5oYJ7ZYYiP",2021-08-20
"61","21-08-2020 18:48","New Delhi, India","Fight against Corona: Russia to begin COVID-19 vaccine trials on 40,000 people next week https://t.co/bkEaARxs8i… https://t.co/y3b2Rp0Sus",2021-08-20
"62","21-08-2020 18:39","British Columbia, Canada","Wondering how many Canadians will actually get a #CovidVaccine when one is available. I'll definitely be getting on… https://t.co/BsfeTw2Dix",2021-08-20
"63","21-08-2020 18:38","New Delhi, India","Corona Vaccine Race: China's latest COVID-19 phase III vaccine to be available, affordable to people worldwide… https://t.co/t5VZ28GX5B",2021-08-20
"64","21-08-2020 18:36","New York, NY","Because people were already skeptical about the FDA being compromised by Trump and mistrustful of any vaccine that… https://t.co/vYbtIL74yU",2021-08-20
"65","21-08-2020 18:29","New Delhi, India","Fight against Corona: COVID-19 vaccine maybe ready by the end of 2020, said experts https://t.co/utYNpWsxR2… https://t.co/yUXDsiCXlq",2021-08-20
"66","21-08-2020 17:53","Kolkata, India","Want to go to Russia to get #CovidVaccine 

Sonu sood is the only hope... https://t.co/I6umQqwJ40",2021-08-20
"67","21-08-2020 17:52","Houston, TX","@HoustonChron This is why they don't want the kids in schools YET. The forever flu vaccine is MANDATORY now. The FO… https://t.co/hBeKJAfxLF",2021-08-20
"68","21-08-2020 17:50","Mumbai, India","Mom 👩 said Corona 🦠🦠

Dad 👨heard Karona 😍😍

🤰🤰🤰🤰

And her it comes #coronial👼👼

#CovidVaccine #CoronaPandemic… https://t.co/TY1YTkSPBB",2021-08-20
"69","21-08-2020 17:38","Rochester, MN","Received in #WhatsApp group.

#oxfordvaccine #AstraZeneca #RussianVaccine #Moderna 

#CovidVaccine https://t.co/sUsWM1F0F5",2021-08-20
"70","21-08-2020 17:37","New Delhi, India","Fight against Corona: Cuba to start clinical trials of potential COVID-19 vaccine https://t.co/qHmwu1PHj6 #Covid_19… https://t.co/FOHrD7aVLs",2021-08-20
"71","21-08-2020 16:52","Houston, TX","@benshapiro The end of COVID19 is here. This is why they don't want tge kids in schools yet. The flu vaccine is MAN… https://t.co/uKaa4MEwfX",2021-08-20
"72","21-08-2020 16:50","Houston, TX","@benshapiro The end of covid is here. This is why they don't want kids in schools yet. The flu vaccine is MANDATORY… https://t.co/JL9JuAKpOI",2021-08-20
"73","21-08-2020 16:32","StocksLand 💶💵💷","#CovidVaccine 🇷🇺 #Russia approves trial of %AstraZeneca #Covid_19 vaccine: registry filing  https://t.co/z4ZVGk52UC",2021-08-20
"74","21-08-2020 16:15","Houston, TX","@DulcieRueben64 @Sterling2143 Below is why they don't want the children back in schools yet. If they  can make the… https://t.co/680ctrAkg8",2021-08-20
"75","21-08-2020 16:06","Kolkata","Still some ppl are expecting FREE #CovidVaccine 🙄 https://t.co/gs0DsYCBxJ",2021-08-20
"76","21-08-2020 15:59","New York","So glad @LMoscovich @UNDPAccLabs @PNUDArgentina is asking these questions in prep for a #CovidVaccine ""Are vaccine… https://t.co/c1f3i20VXr",2021-08-20
"77","21-08-2020 15:36","Allahabad, India","#CovidVaccine 
#CoronavirusPandemic 
#CoronavirusIndia 
Impact of corona virus across world-wide | Losses due to co… https://t.co/cF2quwKxhp",2021-08-20
"78","21-08-2020 15:30","London","@pontifex urges that we do not forget the world's poor and vulnerable people as the world rebuilds after #COVID19.… https://t.co/FzREz4sMQx",2021-08-20
"79","21-08-2020 15:07","Always HOT Nagpur ","China unleashed #Covid_19 infected whole world. And today they held a Pool Party in Wuhan!!! Much of the crowd is w… https://t.co/gqqJW9rJHN",2021-08-20
"80","21-08-2020 14:51","United States","This is a sad day in America and if you vote for #Biden you vote for #MaskMandates among other things like the… https://t.co/oibQQv2MYh",2021-08-20
"81","21-08-2020 14:39","India","More than 150 possible vaccines are being developed and tested around the world, including in India, Britain, China… https://t.co/72M3e7zjEW",2021-08-20
"82","21-08-2020 14:07","United States","Russia’s ‘Sputnik V’ Covid-19 vaccine to be tested on 40,000 people #Covid_19 #covid #Covid19Millionaires… https://t.co/C3P32IBcI1",2021-08-20
"83","21-08-2020 14:04","Mumbai","Evidence is clear that people are not getting reinfected at least in the short term. CDC says there are no confirme… https://t.co/St26fbYygR",2021-08-20
"84","21-08-2020 13:56","Charlotte, NC","Don't get this vaccine until you've researched it. It's an mRNA vaccine and it will effect your genetic code. Not t… https://t.co/KDlDM4VIQ2",2021-08-20
"85","21-08-2020 13:46","America","People interested in the #CovidVaccine should remember #vioxx.  This drug was approved by the FDA in 1999 and then… https://t.co/6c7txyG9LW",2021-08-20
"86","21-08-2020 13:43","Charleston, SC","67% of Americans do not find Russia’s ‘Sputnik V’ vaccine news comforting.

Russia’s superfast approval of its… https://t.co/oj3u40Iiuz",2021-08-20
"87","21-08-2020 13:42","Gurgaon, India","67% of Americans do not find Russia’s ‘Sputnik V’ vaccine news comforting.

Russia’s superfast approval of its… https://t.co/orCKb7FGOt",2021-08-20
"88","21-08-2020 13:20","Toronto","@Wild1W @JustinTrudeau @EvanLSolomon @brianlilley @NatashaFatah @sunlorrie @DrJacobsRad @WHO @JesseBrown I’ve tweet… https://t.co/AjDUgRQEHd",2021-08-20
"89","21-08-2020 13:16","33°42'38.5""N 74°15'40.2""E","An Icicle in the chest on dry cough. 
says my friend. 
May Lord give him Shafa soon! (Ameen) 
Friends pray for ever… https://t.co/SPbN3MjixH",2021-08-20
"90","21-08-2020 13:13","Mumbai","Whenever a safe viable #CovidVaccine is available, it must be first made available to the Indian army as high prior… https://t.co/RDW3In1u5R",2021-08-20
"91","21-08-2020 13:03","Houston, TX","@KPRC2 This is why they don't want children in schools yet. If you make the flu vaccine mandatory, the FOREVER… https://t.co/MwBTHWAPEl",2021-08-20
"92","21-08-2020 12:42","Asia Pacific","Antibodies Can be Vital Against Coronavirus But Do Not Guarantee Immunity, Scientists Claim

#CoronaVirusUpdates… https://t.co/9D4Hgwccf1",2021-08-20
"93","21-08-2020 12:37","Sydney, Australia","Love the Stuff You Should Know @SYSKPodcast and, in particular, this episode. As Bill Gates said, Thanks for feedin… https://t.co/ZVat4MNhS7",2021-08-20
"94","21-08-2020 12:08","Surat, India","Corona virus has now reached, 
""𝘿𝙚𝙠𝙝𝙖 𝙅𝙖𝙮𝙚𝙜𝙖"" Stage in India.. 
#CovidVaccine 
#coronavirus",2021-08-20
"95","21-08-2020 12:00","Jaipur, India","Corona virus has reached the *dekhi jaegi* stage in India now
#coronavirus 
#IndiaFightsCorona 
#CovidVaccine 
#COVID19",2021-08-20
"96","21-08-2020 11:43","India","COVID era highlights US 'black hole' compensation fund for pandemic vaccine injuries

▪️A US govt program that comp… https://t.co/CLB4XQFkBe",2021-08-20
"97","21-08-2020 11:36","Jammikunta","For the treatment of mild to modarate covid    #bluecross ready to launch medcine #Faviblu  #favipiravir combinatio… https://t.co/cHHfqs1cfe",2021-08-20
"98","21-08-2020 11:31","Kenya","@hallaboutafrica Kenyan's concern is how such an official will ensure #CovidVaccine will not be stolen by regime relathieves.",2021-08-20
"99","21-08-2020 11:30","India","Corona will phase through just like malaria and plague. Even better. We have better accessibilities, facilities and… https://t.co/B87ukTzE0X",2021-08-20
"100","21-08-2020 10:59","South Africa","So thrilled my niece @TanyaMoosmann made it onto the UCT leg of the Oxford #CovidVaccine trials yesterday! We are a… https://t.co/IbUTY5rY92",2021-08-20
"101","21-08-2020 10:54","worldwide","Almost 30% of the population in India’s capital of New Delhi likely have been infected by the novel coronavirus, ac… https://t.co/RJxNK4G1kU",2021-08-20
"102","21-08-2020 10:53","Philippines","Am truly wishing that the anticipation for the use of #CovidVaccine matches anticipation for ALL vaccines. #VaccinesWork",2021-08-20
"103","21-08-2020 10:47","Norfolk, VA","COVID-19 VACCINE WATCH:

- Vaccines in development: 139
- Vaccines in human trials: 30

#covid19 #coronavirus… https://t.co/5YxufIUrlB",2021-08-20
"104","21-08-2020 10:40","North East, uk","Read @scrufton73 Aug 21 Newsletter featuring #Pfizer #BioNTech say #Covid_19 jab on track for approval by year-end… https://t.co/UmBEB5ynKw",2021-08-20
"105","21-08-2020 10:38","Sunderland - Tyne &Wear - UK","Read Carole Sian's (@scrufton73) Aug 21 Newsletter featuring #Pfizer #BioNTech say #Covid_19 jab on track for appro… https://t.co/EWNVdNeDXJ",2021-08-20
"106","21-08-2020 10:28","Pakistan","Pakistan to start Phase-III clinical trials of corona vaccine from September
https://t.co/r0HTUUs2OD
#Pakistan… https://t.co/Oa7L0v3dbl",2021-08-20
"107","21-08-2020 10:18","Maharashtra, India","@KremlinRussia_E Hey...! Where is the mask and social distancing? Have you really found out the vaccine or the trut… https://t.co/d3ooIzmulO",2021-08-20
"108","21-08-2020 10:12","Sri Lanka","Sri Lanka would obtain Russian covid vaccine once it was approved by WHO...health minister tells Russian envoy #lka #CovidVaccine",2021-08-20
"109","21-08-2020 10:01","Colorado, USA","Social Cognitive Manipulation full speed ahead!
#SocialDistancing #MasksAreTheNewNorm #facecovering
#facemasks… https://t.co/C60rIeWGQI",2021-08-20
"110","21-08-2020 09:54","Salisbury, England","Due to the intensity of the coronavirus pandemic and the devastating effect it has had across the world, researcher… https://t.co/NsH1Lhk2H2",2021-08-20
"111","21-08-2020 09:51","American","Hello! Guys !
How are you? Do you want to Get a $200 Nike Gift Card! Now click the below link and follow the instru… https://t.co/zBiLERIzM6",2021-08-20
"112","21-08-2020 09:40","North East, uk","Pfizer/BioNTech say #COVID_19 jab on track for approval by year-end https://t.co/BdNQLpDlAb via @pharmaphorum… https://t.co/B0JOpQwlI2",2021-08-20
"113","21-08-2020 09:11","Annanagar","Hoping the much awaited vaccine for Covid becomes available as soon as it is humanly possible. Also, it's equally i… https://t.co/lBjd4CsrTE",2021-08-20
"114","21-08-2020 08:56","Jubilee Hills, Hyderabad","వైరస్‌కి వ్యాక్సిన్‌ వద్దంటున్న జనం?
People Not Inviting Vaccine For Virus | #SomethingSpecial ||#ABNTelugu 

Watch… https://t.co/cGaaJGPh3r",2021-08-20
